Feb 23 17:39:12.241 [notice] Tor 0.3.1.7 (git-6babd3d9ba9318b3) running on Windows 7 with Libevent 2.0.22-stable, OpenSSL 1.0.2k, Zlib 1.2.8, Liblzma N/A, and Libzstd N/A.
Feb 23 17:39:12.241 [notice] Tor can't help you if you use it wrong! Learn how to be safe at https://www.torproject.org/download/download#warning
Feb 23 17:39:12.258 [notice] Configuration file "C:\Users\massivedesign\AppData\Roaming\tor\torrc" not present, using reasonable defaults.
Feb 23 17:39:12.262 [warn] You specified a public address '0.0.0.0:9050' for SocksPort. Other people on the Internet might find your computer and use it as an open proxy. Please don't allow this unless you have a good reason.
Feb 23 17:39:12.262 [warn] Path for GeoIPFile (Tor/geoip) is relative and will resolve to C:\Users\massivedesign\CloudStation\ipchanger\Tor\geoip. Is this what you wanted?
Feb 23 17:39:12.262 [warn] Path for GeoIPv6File (Tor/geoip6) is relative and will resolve to C:\Users\massivedesign\CloudStation\ipchanger\Tor\geoip6. Is this what you wanted?
Feb 23 17:39:12.262 [warn] Path for DataDirectory (Data/tordata0) is relative and will resolve to C:\Users\massivedesign\CloudStation\ipchanger\Data\tordata0. Is this what you wanted?
Feb 23 17:39:12.262 [notice] Wow!  I detected that you have 32 CPUs. I will not autodetect any more than 16, though.  If you want to configure more, set NumCPUs in your torrc
Feb 23 17:39:12.264 [warn] You specified a public address '0.0.0.0:9050' for SocksPort. Other people on the Internet might find your computer and use it as an open proxy. Please don't allow this unless you have a good reason.
Feb 23 17:39:12.264 [notice] Opening Socks listener on 0.0.0.0:9050
Feb 23 17:39:12.264 [notice] Opening DNS listener on 127.0.0.1:53
Feb 23 17:39:12.264 [notice] Opening Control listener on 127.0.0.1:15000
Feb 23 17:39:12.000 [notice] Parsing GEOIP IPv4 file Tor/geoip.
Feb 23 17:39:12.000 [notice] Parsing GEOIP IPv6 file Tor/geoip6.
Feb 23 17:39:12.000 [notice] Bootstrapped 0%: Starting
Feb 23 17:39:13.000 [notice] Starting with guard context "default"
Feb 23 17:39:13.000 [notice] Bootstrapped 80%: Connecting to the Tor network
Feb 23 17:39:18.000 [notice] Bootstrapped 85%: Finishing handshake with first hop
Feb 23 17:39:18.000 [notice] Bootstrapped 90%: Establishing a Tor circuit
Feb 23 17:39:18.000 [notice] Tor has successfully opened a circuit. Looks like client functionality is working.
Feb 23 17:39:18.000 [notice] Bootstrapped 100%: Done
Feb 23 17:39:25.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:39:35.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:39:45.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:39:55.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:40:05.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:40:15.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:40:25.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:40:35.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:40:45.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:40:55.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:41:06.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:41:16.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:41:26.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:41:34.000 [notice] Have tried resolving or connecting to address '[scrubbed]' at 3 different places. Giving up.
Feb 23 17:41:34.000 [notice] Have tried resolving or connecting to address '[scrubbed]' at 3 different places. Giving up.
Feb 23 17:41:36.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:41:46.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:41:56.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:42:06.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:42:16.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:42:26.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:42:36.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:42:46.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:42:56.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:43:06.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:43:16.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:43:26.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:43:36.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:43:46.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:43:56.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:44:06.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:44:16.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:44:26.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:44:36.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:44:46.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:44:56.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:45:06.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:45:16.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:45:26.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:45:36.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:45:46.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:45:56.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:46:06.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:46:16.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:46:26.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:46:36.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:46:46.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:46:56.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:47:06.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:47:16.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:47:26.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:47:36.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:47:46.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:47:56.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:48:06.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:48:16.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:48:26.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:48:36.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:48:46.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:48:56.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:49:06.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:49:16.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:49:26.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:49:36.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:49:46.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:49:56.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:50:06.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:50:16.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:50:26.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:50:36.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:50:46.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:50:56.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:51:06.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:51:16.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:51:26.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:51:36.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:51:46.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:51:56.000 [notice] New control connection opened from 127.0.0.1.
Feb 23 17:52:06.000 [notice] New control connection opened from 127.0.0.1.
