Feb 24 16:54:59.234 [notice] Tor 0.3.1.7 (git-6babd3d9ba9318b3) running on Windows 7 with Libevent 2.0.22-stable, OpenSSL 1.0.2k, Zlib 1.2.8, Liblzma N/A, and Libzstd N/A.
Feb 24 16:54:59.236 [notice] Tor can't help you if you use it wrong! Learn how to be safe at https://www.torproject.org/download/download#warning
Feb 24 16:54:59.255 [notice] Configuration file "C:\Users\massivedesign\AppData\Roaming\tor\torrc" not present, using reasonable defaults.
Feb 24 16:54:59.260 [warn] You specified a public address '0.0.0.0:9050' for SocksPort. Other people on the Internet might find your computer and use it as an open proxy. Please don't allow this unless you have a good reason.
Feb 24 16:54:59.260 [warn] Path for GeoIPFile (Tor/geoip) is relative and will resolve to C:\Users\massivedesign\CloudStation\PyArchArtBot\ipchanger\Tor\geoip. Is this what you wanted?
Feb 24 16:54:59.260 [warn] Path for GeoIPv6File (Tor/geoip6) is relative and will resolve to C:\Users\massivedesign\CloudStation\PyArchArtBot\ipchanger\Tor\geoip6. Is this what you wanted?
Feb 24 16:54:59.260 [warn] Path for DataDirectory (Data/tordata0) is relative and will resolve to C:\Users\massivedesign\CloudStation\PyArchArtBot\ipchanger\Data\tordata0. Is this what you wanted?
Feb 24 16:54:59.261 [notice] Wow!  I detected that you have 32 CPUs. I will not autodetect any more than 16, though.  If you want to configure more, set NumCPUs in your torrc
Feb 24 16:54:59.263 [warn] You specified a public address '0.0.0.0:9050' for SocksPort. Other people on the Internet might find your computer and use it as an open proxy. Please don't allow this unless you have a good reason.
Feb 24 16:54:59.263 [notice] Opening Socks listener on 0.0.0.0:9050
Feb 24 16:54:59.264 [notice] Opening DNS listener on 127.0.0.1:53
Feb 24 16:54:59.264 [notice] Opening Control listener on 127.0.0.1:15000
Feb 24 16:54:59.000 [notice] Parsing GEOIP IPv4 file Tor/geoip.
Feb 24 16:54:59.000 [notice] Parsing GEOIP IPv6 file Tor/geoip6.
Feb 24 16:54:59.000 [notice] Bootstrapped 0%: Starting
Feb 24 16:55:00.000 [notice] Starting with guard context "default"
Feb 24 16:55:00.000 [notice] Bootstrapped 80%: Connecting to the Tor network
Feb 24 16:55:04.000 [notice] Bootstrapped 85%: Finishing handshake with first hop
Feb 24 16:55:04.000 [notice] Bootstrapped 90%: Establishing a Tor circuit
Feb 24 16:55:05.000 [notice] Tor has successfully opened a circuit. Looks like client functionality is working.
Feb 24 16:55:05.000 [notice] Bootstrapped 100%: Done
Feb 24 16:55:06.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:55:16.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:55:26.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:55:36.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:55:46.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:55:56.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:56:06.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:56:16.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:56:26.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:56:36.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:56:46.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:56:56.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:57:06.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:57:16.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:57:26.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:57:36.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:57:46.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:57:56.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:58:06.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:58:16.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:58:26.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:58:36.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:58:46.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:58:56.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:59:06.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:59:16.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:59:26.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:59:36.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:59:46.000 [notice] New control connection opened from 127.0.0.1.
Feb 24 16:59:56.000 [notice] New control connection opened from 127.0.0.1.
